Date,Ticker,Close,Shares,MarketCap
2022-11-10 00:00:00-05:00,META,111.87000274658203,2651549952.0,296628900412.93945
2022-11-10 00:00:00-05:00,AMD,68.47000122070312,1612359936.0,110398286786.13281
2022-11-10 00:00:00-05:00,BABA,69.7699966430664,2746540032.0,191626088812.6875
2022-11-10 00:00:00-05:00,AMZN,,,
2022-11-10 00:00:00-05:00,AAPL,,,
2022-11-10 00:00:00-05:00,BIDU,86.11000061035156,355583008.0,30619253035.910645
2022-11-11 00:00:00-05:00,GOOGL,96.41000366210938,12957899776.0,1249271164857.4062
2022-11-11 00:00:00-05:00,TCEHY,31.48650360107422,9578219520.0,301584643408.3594
2022-11-11 00:00:00-05:00,TSLA,,,
2022-11-11 00:00:00-05:00,MSFT,,,
2022-11-11 00:00:00-05:00,META,,,
2022-11-11 00:00:00-05:00,AMD,,,
2022-11-11 00:00:00-05:00,BABA,70.7699966430664,2647539968.0,187366394647.74414
2022-11-11 00:00:00-05:00,AMZN,,,
2022-11-11 00:00:00-05:00,AAPL,,,
2022-11-11 00:00:00-05:00,BIDU,89.45999908447266,345551008.0,30912992859.318604
2022-11-15 00:00:00-05:00,GOOGL,98.44000244140625,12963999744.0,1276176166449.75
2022-11-15 00:00:00-05:00,TCEHY,,,
2022-11-15 00:00:00-05:00,TSLA,,,
2022-11-15 00:00:00-05:00,MSFT,,,
2022-11-15 00:00:00-05:00,META,,,
2022-11-15 00:00:00-05:00,AMD,,,
2022-11-15 00:00:00-05:00,BABA,79.30000305175781,2690850048.0,213384417018.22266
2022-11-15 00:00:00-05:00,AMZN,,,
2022-11-15 00:00:00-05:00,AAPL,,,
2022-11-15 00:00:00-05:00,BIDU,,,
